MW,LogP,validity,uniqueness,novelty,acceptance_rate,total_generated,accepted,invalid_or_empty,in_training,duplicate,rejected_by_filter
461.1111111111111,-2.888888888888889,0.48336226851851855,1.0,1.0,0.48312114197530864,20736,10018,10713,0,0,5
461.1111111111111,-1.7777777777777777,0.5419719827586207,1.0,1.0,0.5415948275862069,18560,10052,8501,0,0,7
461.1111111111111,-0.6666666666666665,0.5894031954887218,1.0,1.0,0.5891682330827067,17024,10030,6990,0,0,4
461.1111111111111,0.44444444444444464,0.6288125,1.0,1.0,0.6286875,16000,10059,5939,0,0,2
461.1111111111111,1.5555555555555554,0.6596638655462185,1.0,1.0,0.6594669117647058,15232,10045,5184,0,0,3
461.1111111111111,2.666666666666667,0.6911321271929824,1.0,1.0,0.6910635964912281,14592,10084,4507,0,0,1
461.1111111111111,3.7777777777777786,0.7102336711711712,1.0,1.0,0.7100225225225225,14208,10088,4117,0,0,3
461.1111111111111,4.888888888888889,0.7214019495412844,1.0,0.9999283256880734,0.7212586009174312,13952,10063,3887,1,0,1
461.1111111111111,6.0,0.7208285550458715,1.0,1.0,0.720756880733945,13952,10056,3895,0,0,1
500.0,-4.0,0.33962391774891776,1.0,1.0,0.33942099567099565,29568,10036,19526,0,0,6
500.0,-2.888888888888889,0.3989133883248731,1.0,1.0,0.39855647208121825,25216,10050,15157,0,0,9
500.0,-1.7777777777777777,0.4603860294117647,1.0,1.0,0.46011029411764703,21760,10012,11742,0,0,6
500.0,-0.6666666666666665,0.5012520032051282,1.0,1.0,0.5010016025641025,19968,10004,9959,0,0,5
500.0,0.44444444444444464,0.5459526909722222,1.0,1.0,0.5457356770833334,18432,10059,8369,0,0,4
500.0,1.5555555555555554,0.5866371268656716,1.0,1.0,0.5861707089552238,17152,10054,7090,0,0,8
500.0,2.666666666666667,0.6182332677165354,1.0,1.0,0.6177411417322834,16256,10042,6206,0,0,8
500.0,3.7777777777777786,0.6378302845528455,1.0,0.9999364837398373,0.6376397357723578,15744,10039,5702,1,0,2
500.0,4.888888888888889,0.6609112394957983,1.0,1.0,0.6606486344537815,15232,10063,5165,0,0,4
500.0,6.0,0.6533854166666667,1.0,1.0,0.6533854166666667,15360,10036,5324,0,0,0
